Regio;Code;Type;Partij;AantalStemmen;AantalZetels;
Nederland;L528;AantalBlancoStemmen;;39727;;
Nederland;L528;AantalGeldigeStemmen;;8981556;;
Nederland;L528;AantalOngeldigeStemmen;;;;
Nederland;L528;Kiesgerechtigden;;11455924;;
Nederland;L528;Opkomst;;9021283;;
Nederland;L528;Partij;PvdA;2153135;37;
Nederland;L528;Partij;CDA;1996418;34;
Nederland;L528;Partij;VVD;1792401;31;
Nederland;L528;Partij;D66;1391202;24;
Nederland;L528;Partij;AOV;326401;6;
Nederland;L528;Partij;GL;311399;5;
Nederland;L528;Partij;CD;220734;3;
Nederland;L528;Partij;RPF;158705;3;
Nederland;L528;Partij;SGP;155251;2;
Nederland;L528;Partij;GPV;119158;2;
Nederland;L528;Partij;SP;118768;2;
Nederland;L528;Partij;Unie55+;78147;1;
Nederland;L528;Partij;CP86;32327;;
Nederland;L528;Partij;Natuurwetpartij;27665;;
Nederland;L528;Partij;Vrije Indische Partij;17230;;
Nederland;L528;Partij;De Groenen;13902;;
Nederland;L528;Partij;Nieuwe Communistische Partij;11630;;
Nederland;L528;Partij;Solidariteit Boerenpartij;9096;;
Nederland;L528;Partij;Partij voor Milieu en Recht;8716;;
Nederland;L528;Partij;Solidair '93;7919;;
Nederland;L528;Partij;PSP'92;7385;;
Nederland;L528;Partij;De Nieuwe Partij;6825;;
Nederland;L528;Partij;Algemeen Democratische Partij;5196;;
Nederland;L528;Partij;Patriottisch Democratisch Appèl;4845;;
Nederland;L528;Partij;Socialistische Arbeiderspartij;4347;;
Nederland;L528;Partij;Libertarische Partij;2754;;
