Bureau,Publicatiedatum,PVV,GL/PvdA,VVD,NSC,D66,BBB,CDA,SP,Denk,PvdD,FvD,SGP,CU,Volt,JA21,50PLUS,Start veldwerk,Eind veldwerk,Link,Opmerking
Ipsos I&O,2025-10-28,14.8,15,10.9,0.7,15.4,3.2,12.7,2.7,2.3,2.6,4,2.4,2.2,1.6,7.4,2.1,2025-10-27,2025-10-28,https://www.ipsos-publiek.nl/actueel/ipsos-io-zetelpeiling-vijf-partijen-dicht-bij-elkaar/,
Verian/1V,2025-10-28,18.5,15.9,10.3,0.3,15.8,2.4,12.4,3.5,2.3,1.6,3.9,2,2,1.5,5.7,1.8,2025-10-27,2025-10-28,https://eenvandaag.avrotros.nl/opiniepanel/uitslagen/d66-stijgt-8-zetels-in-laatste-zetelpeiling-voor-verkiezingen-pvv-daalt-5-zetels-161768,
Ipsos I&O,2025-10-25,16.7,15,10.4,0.5,14.4,2.7,12.6,2.8,2.4,3,3.6,2.5,2.2,2.2,7.7,1.3,2025-10-23,2025-10-24,https://www.ipsos-publiek.nl/actueel/ipsos-io-zetelpeiling-cda-levert-in-partijen-groeien-naar-elkaar-toe/,
Verian/1V,2025-10-21,22.2,16.1,9.6,0.5,10.4,1.8,14.6,2.8,2.5,2.1,2.6,2.1,1.8,2,8,1,2025-10-17,2025-10-20,https://eenvandaag.avrotros.nl/opiniepanel/uitslagen/pvv-stijgt-weer-iets-in-nieuwe-zetelpeiling-nog-steeds-veel-zwevende-kiezers-161702,
Ipsos I&O,2025-10-16,18.5,13.8,8.8,0.7,11.7,2.9,15.9,3,2.4,3.1,3.1,2.3,2.3,2.1,7.9,1.6,2025-10-13,2025-10-15,https://www.ipsos-publiek.nl/actueel/ipsos-io-zetelpeiling-d66-groeit-door-na-rtl-debat/,
Verian/1V,2025-10-14,20,16.3,8.9,0.2,9.2,2.6,14.7,2.9,1.7,2.5,3.2,2.3,2.2,2.9,8.8,1.7,2025-10-10,2025-10-13,https://eenvandaag.avrotros.nl/opiniepanel/uitslagen/pvv-verliest-licht-in-nieuwe-zetelpeiling-d66-ja21-en-vvd-nu-op-gelijke-hoogte-161636,
Ipsos I&O,2025-10-08,20.2,14,8.5,0.6,9.3,2.6,15.7,2.6,3,3.6,2.9,2.6,1.9,3,8.2,1.3,2025-10-03,2025-10-06,https://www.ipsos-publiek.nl/actueel/ipsos-io-zetelpeiling-surplace-voor-de-eindfase/,
Verian/1V,2025-09-30,22,14.6,9.3,0.4,7.1,2.4,15.3,4.5,2,3.1,3,2.8,2.6,2.9,7.3,1,2025-09-26,2025-09-29,https://www.veriangroup.com/nl/news-and-insights/zetelpeiling-september-2025,
Ipsos I&O,2025-09-29,19.8,14.8,9.3,0.4,9.9,3.6,15.5,2.9,2.7,2.8,3.1,2.5,1.8,2.7,7.3,0.8,2025-09-26,2025-09-29,https://www.ipsos-publiek.nl/actueel/ipsos-io-zetelpeiling-geweld-den-haag-leidt-niet-tot-electorale-verschuivingen/,
Ipsos I&O,2025-09-17,19.9,14.6,9.2,0.2,8.5,2.7,15.3,4,2.8,3,2.8,2.2,2.4,2.3,8,1,2025-09-13,2025-09-15,https://www.ipsos-publiek.nl/actueel/ipsos-io-zetelpeiling-liberale-partijen-vvd-d66-en-ja21-dicht-bij-elkaar/,
Ipsos I&O,2025-09-03,19.5,14.8,9.7,0.7,7.4,4.1,16.1,4.3,2.6,3.8,2,2,2.3,2.9,6.1,,2025-08-29,2025-09-01,https://www.ipsos-publiek.nl/actueel/ipsos-io-zetelpeiling-cda-voegt-zich-bij-top-twee/,
Verian/1V,2025-08-26,21.1,16.9,9.9,0.4,6.9,2.7,14.6,5,2.6,3.1,2.7,2.1,3.5,2.6,6.1,,2025-08-22,2025-08-25,https://www.veriangroup.com/nl/news-and-insights/zetelpeiling-augustus-2025,
Ipsos I&O,2025-07-30,17.4,15.2,12.6,1.2,8.1,3,15.1,4,2.9,3.8,2.1,2.6,2.6,2.5,4.9,,2025-07-25,2025-07-28,https://www.ipsos-publiek.nl/actueel/ipsos-io-zetelpeiling-vvd-valt-buiten-de-top-3/,
Verian/1V,2025-07-29,19.7,18.4,15,0.9,6.4,1.7,14.6,4.6,1.9,2.8,2.8,2.3,2.5,1.3,5.1,,2025-07-25,2025-07-28,https://www.veriangroup.com/nl/news-and-insights/zetelpeiling-juli-2025,
Verian/1V,2025-06-24,20.8,16.7,16.5,0.8,5.3,2.1,13.3,3.2,2.2,3,2.3,2.3,2.2,3,6.2,,2025-06-20,2025-06-23,https://www.veriangroup.com/nl/news-and-insights/zetelpeiling-juni-2025,
Ipsos I&O,2025-06-18,19.2,18.3,15.4,1.3,7.2,2.8,13.6,3.6,2.4,4.1,2.2,2.5,2.2,2.3,2.4,,2025-06-13,2025-06-16,https://www.ipsos-publiek.nl/actueel/ipsos-io-zetelpeiling-cda-vindt-aansluiting-bij-top-3/,
Verian/1V,2025-06-10,21.5,16.7,16.9,0.7,6.5,2.1,13.3,3.9,2.8,3.4,2.2,2,3.4,2.7,1.7,,2025-06-06,2025-06-10,https://eenvandaag.avrotros.nl/opiniepanel/uitslagen/pvv-na-kabinetsval-weer-grootste-in-zetelpeiling-kiezers-weinig-onder-de-indruk-van-uitsluiten-door-vvd-160472,
Ipsos I&O,2025-06-06,19,16.7,14.8,1.7,8.2,2.6,11.8,3.5,2.3,5.2,3.2,2.6,2.2,2.4,2.8,,2025-06-05,2025-06-06,https://www.ipsos-publiek.nl/actueel/pvv-lijdt-niet-onder-kabinetsval-kloof-verdiept-zich/,
Verian/1V,2025-05-27,18.4,17.9,19.4,1.5,6.6,1.9,11.9,5.1,3,3.2,2,2.3,2.4,2.2,2.2,,2025-05-23,2025-05-26,https://www.veriangroup.com/nl/news-and-insights/zetelpeiling-mei-2025,
Ipsos I&O,2025-05-15,18.3,18.1,16.7,1.2,7.7,2.6,11.1,4,2.5,4.4,2.8,2.5,2.4,2.3,2.6,,2025-05-09,2025-05-12,https://www.ipsos-publiek.nl/actueel/ipsos-io-zetelpeiling-kiezers-delen-enthousiasme-over-voorjaarsnota-niet/,
Verian/1V,2025-04-29,18.8,17.3,18.1,0.8,7.8,2.4,12.2,4.1,2.7,3.4,3,2.5,3.2,2.2,1.4,,2025-04-25,2025-04-28,https://www.veriangroup.com/nl/news-and-insights/zetelpeiling-april-2025,
Ipsos I&O,2025-04-15,17.9,16.8,16.4,1.3,6.7,3.5,11.7,3.6,2.9,4.6,3,2.1,2.3,2.5,2.7,,2025-04-11,2025-04-14,https://www.ipsos-publiek.nl/actueel/tevredenheid-met-kabinet-op-laagste-punt-in-tien-jaar/,
Verian/1V,2025-03-25,19.9,17.4,18.2,1.8,6.4,1.6,9.6,5.7,3.1,3.7,3.1,2.8,2.6,2.8,1.5,,2025-03-21,2025-03-24,https://eenvandaag.avrotros.nl/panels/opiniepanel/alle-uitslagen/item/pvv-niet-meer-de-grootste-in-zetelpeiling-vvd-en-groenlinks-pvda-bijna-evenveel-zetels/,
