Bureau,Publicatiedatum,PVV,GL/PvdA,VVD,NSC,D66,BBB,CDA,SP,Denk,PvdD,FvD,SGP,CU,Volt,JA21,50PLUS,Start veldwerk,Eind veldwerk,Link
Ipsos I&O,2025-10-28,23,23,17,1,23,5,19,4,3,4,6,3,3,2,11,3,2025-10-27,2025-10-28,https://www.ipsos-publiek.nl/actueel/ipsos-io-zetelpeiling-vijf-partijen-dicht-bij-elkaar/
Verian/1V,2025-10-28,29,25,16,0,24,3,19,5,3,2,6,3,3,2,8,2,2025-10-27,2025-10-28,https://eenvandaag.avrotros.nl/opiniepanel/uitslagen/d66-stijgt-8-zetels-in-laatste-zetelpeiling-voor-verkiezingen-pvv-daalt-5-zetels-161768
Ipsos I&O,2025-10-25,26,23,16,0,22,4,20,4,3,4,5,3,3,3,12,2,2025-10-23,2025-10-24,https://www.ipsos-publiek.nl/actueel/ipsos-io-zetelpeiling-cda-levert-in-partijen-groeien-naar-elkaar-toe/
Verian/1V,2025-10-21,34,25,15,0,16,2,23,4,3,3,4,3,2,3,12,1,2025-10-17,2025-10-20,https://eenvandaag.avrotros.nl/opiniepanel/uitslagen/pvv-stijgt-weer-iets-in-nieuwe-zetelpeiling-nog-steeds-veel-zwevende-kiezers-161702
Ipsos I&O,2025-10-16,29,22,14,0,18,4,25,4,3,4,4,3,3,3,12,2,2025-10-13,2025-10-15,https://www.ipsos-publiek.nl/actueel/ipsos-io-zetelpeiling-d66-groeit-door-na-rtl-debat/
Verian/1V,2025-10-14,31,25,14,0,14,4,23,4,2,3,5,3,3,4,13,2,2025-10-10,2025-10-13,https://eenvandaag.avrotros.nl/opiniepanel/uitslagen/pvv-verliest-licht-in-nieuwe-zetelpeiling-d66-ja21-en-vvd-nu-op-gelijke-hoogte-161636
Ipsos I&O,2025-10-08,31,22,13,0,14,4,24,4,4,5,4,4,2,4,13,2,2025-10-03,2025-10-06,https://www.ipsos-publiek.nl/actueel/ipsos-io-zetelpeiling-surplace-voor-de-eindfase/
Verian/1V,2025-09-30,34,23,14,0,11,3,23,7,3,4,4,4,4,4,11,1,2025-09-26,2025-09-29,https://www.veriangroup.com/nl/news-and-insights/zetelpeiling-september-2025
Ipsos I&O,2025-09-29,31,23,14,0,15,5,25,4,4,4,4,3,2,4,11,1,2025-09-26,2025-09-29,https://www.ipsos-publiek.nl/actueel/ipsos-io-zetelpeiling-geweld-den-haag-leidt-niet-tot-electorale-verschuivingen/
Ipsos I&O,2025-09-17,32,23,14,0,13,4,24,6,4,4,4,3,3,3,12,1,2025-09-13,2025-09-15,https://www.ipsos-publiek.nl/actueel/ipsos-io-zetelpeiling-liberale-partijen-vvd-d66-en-ja21-dicht-bij-elkaar/
Ipsos I&O,2025-09-03,31,23,15,1,11,6,25,6,4,6,3,3,3,4,9,,2025-08-29,2025-09-01,https://www.ipsos-publiek.nl/actueel/ipsos-io-zetelpeiling-cda-voegt-zich-bij-top-twee/
Verian/1V,2025-08-26,33,26,15,0,10,4,22,7,4,4,4,3,5,4,9,,2025-08-22,2025-08-25,https://www.veriangroup.com/nl/news-and-insights/zetelpeiling-augustus-2025
Ipsos I&O,2025-07-30,27,24,20,1,12,4,24,6,4,6,3,4,4,4,7,,2025-07-25,2025-07-28,https://www.ipsos-publiek.nl/actueel/ipsos-io-zetelpeiling-vvd-valt-buiten-de-top-3/
