,party,percentage,seats,date,sample,fieldstart,fieldend,company,publicationdate,reported
1,CDA,0.179,NA,19-3-1997,1000,19-3-1997,19-3-1997,Ipsos,19-3-1997,percentage
2,PvdA,0.257,NA,19-3-1997,1000,19-3-1997,19-3-1997,Ipsos,19-3-1997,percentage
3,VVD,0.283,NA,19-3-1997,1000,19-3-1997,19-3-1997,Ipsos,19-3-1997,percentage
4,SP,0.025,NA,19-3-1997,1000,19-3-1997,19-3-1997,Ipsos,19-3-1997,percentage
5,GL,0.061,NA,19-3-1997,1000,19-3-1997,19-3-1997,Ipsos,19-3-1997,percentage
6,D66,0.097,NA,19-3-1997,1000,19-3-1997,19-3-1997,Ipsos,19-3-1997,percentage
7,GPV,0.019,NA,19-3-1997,1000,19-3-1997,19-3-1997,Ipsos,19-3-1997,percentage
8,RPF,0.022,NA,19-3-1997,1000,19-3-1997,19-3-1997,Ipsos,19-3-1997,percentage
9,SGP,0.02,NA,19-3-1997,1000,19-3-1997,19-3-1997,Ipsos,19-3-1997,percentage
10,CDA,0.173,NA,26-3-1997,1000,26-3-1997,26-3-1997,Ipsos,26-3-1997,percentage
11,PvdA,0.268,NA,26-3-1997,1000,26-3-1997,26-3-1997,Ipsos,26-3-1997,percentage
12,VVD,0.284,NA,26-3-1997,1000,26-3-1997,26-3-1997,Ipsos,26-3-1997,percentage
13,SP,0.024,NA,26-3-1997,1000,26-3-1997,26-3-1997,Ipsos,26-3-1997,percentage
14,GL,0.053,NA,26-3-1997,1000,26-3-1997,26-3-1997,Ipsos,26-3-1997,percentage
15,D66,0.119,NA,26-3-1997,1000,26-3-1997,26-3-1997,Ipsos,26-3-1997,percentage
16,GPV,0.017,NA,26-3-1997,1000,26-3-1997,26-3-1997,Ipsos,26-3-1997,percentage
17,RPF,0.02,NA,26-3-1997,1000,26-3-1997,26-3-1997,Ipsos,26-3-1997,percentage
18,SGP,0.018,NA,26-3-1997,1000,26-3-1997,26-3-1997,Ipsos,26-3-1997,percentage
19,CDA,0.2,NA,2-4-1997,1000,2-4-1997,2-4-1997,Ipsos,2-4-1997,percentage
20,PvdA,0.25,NA,2-4-1997,1000,2-4-1997,2-4-1997,Ipsos,2-4-1997,percentage
21,VVD,0.271,NA,2-4-1997,1000,2-4-1997,2-4-1997,Ipsos,2-4-1997,percentage
22,SP,0.027,NA,2-4-1997,1000,2-4-1997,2-4-1997,Ipsos,2-4-1997,percentage
23,GL,0.062,NA,2-4-1997,1000,2-4-1997,2-4-1997,Ipsos,2-4-1997,percentage
24,D66,0.116,NA,2-4-1997,1000,2-4-1997,2-4-1997,Ipsos,2-4-1997,percentage
25,GPV,0.014,NA,2-4-1997,1000,2-4-1997,2-4-1997,Ipsos,2-4-1997,percentage
26,RPF,0.018,NA,2-4-1997,1000,2-4-1997,2-4-1997,Ipsos,2-4-1997,percentage
