date,party,seats,source,confidence
1967-02-15,CDA,100,image_star,high
1971-04-28,CDA,75,image_star,high
1972-11-29,CDA,63,image_star,high
1977-05-25,CDA,49,image_star,high
1981-05-26,CDA,48,image_star,high
1982-09-08,CDA,45,image_star,high
1986-05-21,CDA,54,image_star,high
1989-09-06,CDA,54,image_star,high
1994-05-03,CDA,34,image_star,high
1998-05-06,CDA,29,image_star,high
2002-05-15,CDA,43,image_star,high
2003-01-22,CDA,44,image_star,high
2006-11-22,CDA,41,image_star,high
2010-06-09,CDA,21,image_star,high
1967-02-15,PvdA,37,image_star,high
1971-04-28,PvdA,39,image_star,high
1972-11-29,PvdA,43,image_star,high
1977-05-25,PvdA,53,image_star,high
1981-05-26,PvdA,44,image_star,high
1982-09-08,PvdA,47,image_star,high
1986-05-21,PvdA,52,image_star,high
1989-09-06,PvdA,49,image_star,high
1994-05-03,PvdA,37,image_star,high
1998-05-06,PvdA,45,image_star,high
2002-05-15,PvdA,23,image_star,high
2003-01-22,PvdA,42,image_star,high
2006-11-22,PvdA,33,image_star,high
2010-06-09,PvdA,30,image_star,high
1967-02-15,VVD,17,image_star,high
1971-04-28,VVD,16,image_star,high
1972-11-29,VVD,22,image_star,high
1977-05-25,VVD,28,image_star,high
1981-05-26,VVD,26,image_star,high
1982-09-08,VVD,36,image_star,high
1986-05-21,VVD,27,image_star,high
1989-09-06,VVD,22,image_star,high
1994-05-03,VVD,31,image_star,high
1998-05-06,VVD,38,image_star,high
2002-05-15,VVD,44,image_star,high
2003-01-22,VVD,28,image_star,high
2006-11-22,VVD,22,image_star,high
2010-06-09,VVD,31,image_star,high
1967-02-15,D66,0,image_star,medium
1971-04-28,D66,11,image_star,high
1972-11-29,D66,6,image_star,high
1977-05-25,D66,8,image_star,high
1981-05-26,D66,17,image_star,high
1982-09-08,D66,6,image_star,high
1986-05-21,D66,9,image_star,high
1989-09-06,D66,12,image_star,high
1994-05-03,D66,24,image_star,high
1998-05-06,D66,14,image_star,high
2002-05-15,D66,7,image_star,high
2003-01-22,D66,6,image_star,high
2006-11-22,D66,3,image_star,high
2010-06-09,D66,10,image_star,high
1967-02-15,GL/PvdA,0,image_star,medium
1971-04-28,GL/PvdA,2,image_star,medium
1972-11-29,GL/PvdA,7,image_star,high
1977-05-25,GL/PvdA,2,image_star,high
1981-05-26,GL/PvdA,3,image_star,high
1982-09-08,GL/PvdA,3,image_star,high
1986-05-21,GL/PvdA,2,image_star,high
1989-09-06,GL/PvdA,6,image_star,high
1994-05-03,GL/PvdA,5,image_star,high
1998-05-06,GL/PvdA,11,image_star,high
2002-05-15,GL/PvdA,10,image_star,high
2003-01-22,GL/PvdA,8,image_star,high
2006-11-22,GL/PvdA,7,image_star,high
2010-06-09,GL/PvdA,10,image_star,high
1967-02-15,CU,0,image_star,medium
1971-04-28,CU,2,image_star,medium
1972-11-29,CU,2,image_star,medium
1977-05-25,CU,0,image_star,medium
1981-05-26,CU,4,image_star,high
1982-09-08,CU,3,image_star,high
1986-05-21,CU,3,image_star,high
1989-09-06,CU,2,image_star,high
1994-05-03,CU,5,image_star,high
1998-05-06,CU,5,image_star,high
2002-05-15,CU,4,image_star,high
2003-01-22,CU,3,image_star,high
2006-11-22,CU,6,image_star,high
2010-06-09,CU,5,image_star,high
1967-02-15,SGP,3,image_star,high
1971-04-28,SGP,3,image_star,high
1972-11-29,SGP,3,image_star,high
1977-05-25,SGP,3,image_star,high
1981-05-26,SGP,3,image_star,high
1982-09-08,SGP,3,image_star,high
1986-05-21,SGP,1,image_star,medium
1989-09-06,SGP,3,image_star,high
1994-05-03,SGP,2,image_star,high
1998-05-06,SGP,3,image_star,high
2002-05-15,SGP,2,image_star,high
2003-01-22,SGP,2,image_star,high
2006-11-22,SGP,2,image_star,high
2010-06-09,SGP,2,image_star,high
1994-05-03,SP,5,image_star,high
1998-05-06,SP,5,image_star,high
2002-05-15,SP,9,image_star,high
2003-01-22,SP,25,image_star,high
2006-11-22,SP,25,image_star,high
2010-06-09,SP,15,image_star,high
